crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
1.3778,80.0,7.58,0,0.855,6.751,15.3,3.9233,11,567.0,21.9,35.84,24.67,5.0
0.4197,80.0,14.51,0,0.801,6.165,30.6,9.7099,22,387.0,20.0,284.02,34.31,5.0
0.9313,20.0,13.86,0,0.442,6.541,54.5,2.2161,9,407.0,18.3,107.85,24.33,13.4
2.0054,75.0,27.6,0,0.745,5.869,52.5,1.9623,23,467.0,15.8,301.85,6.59,13.6
6.1338,80.0,24.91,0,0.54,6.04,82.6,5.107,13,317.0,17.7,286.81,5.93,18.4
7.0968,45.0,13.1,0,0.865,7.655,42.2,2.1438,23,437.0,13.0,3.25,32.32,8.9
0.0251,25.0,17.44,0,0.621,5.714,49.9,7.5659,18,687.0,19.6,202.23,6.78,5.0
2.5736,85.0,20.84,1,0.445,6.388,4.2,3.619,11,227.0,16.8,55.57,20.58,20.7
1.945,80.0,1.45,0,0.737,6.359,42.7,10.9827,15,487.0,12.8,343.85,3.07,12.2
0.9042,65.0,24.84,0,0.542,6.062,65.8,9.7485,22,427.0,13.2,345.97,4.65,16.9
0.4596,85.0,23.9,0,0.87,6.64,4.4,8.8268,19,487.0,16.2,166.23,26.1,5.0
1.4829,75.0,12.94,0,0.861,6.693,30.2,7.9164,1,677.0,18.1,176.56,26.71,5.0
10.3072,40.0,11.14,1,0.704,5.632,23.1,10.6281,4,377.0,17.0,120.6,14.1,5.0
1.4054,25.0,7.92,0,0.448,6.351,7.0,3.5837,14,617.0,18.4,284.51,9.54,20.1
2.6332,85.0,13.47,0,0.719,5.522,49.4,10.7342,14,347.0,17.1,142.56,31.22,5.0
4.3707,35.0,1.71,0,0.43,6.832,20.5,9.8144,3,627.0,18.8,106.52,9.6,8.2
1.6271,60.0,23.68,0,0.399,6.404,75.1,9.3598,17,197.0,14.7,171.73,21.37,10.8
12.8441,45.0,1.46,0,0.785,6.338,85.2,7.3038,3,427.0,13.7,36.6,36.82,5.0
11.8152,95.0,9.45,0,0.487,6.741,55.9,3.8387,16,307.0,18.2,296.41,7.09,24.6
1.0442,45.0,25.84,0,0.569,6.087,98.2,5.789,14,567.0,17.2,5.32,35.83,5.0
2.4756,70.0,20.5,0,0.858,6.92,46.6,9.8593,20,457.0,12.9,255.91,8.36,11.7
1.2885,95.0,8.15,1,0.549,5.616,52.7,1.4796,13,597.0,16.2,72.84,22.29,11.7
1.2069,75.0,7.37,0,0.529,7.268,99.0,9.7326,15,237.0,13.6,92.49,15.39,13.5
0.1353,30.0,0.64,0,0.831,5.894,25.4,3.7708,14,207.0,17.6,252.4,36.7,5.0
3.3858,60.0,19.42,0,0.439,5.093,94.4,2.7174,24,527.0,16.3,394.1,11.64,18.8
2.5147,25.0,1.83,1,0.754,6.05,7.1,2.4027,19,357.0,18.4,308.75,16.21,16.0
0.1903,55.0,14.99,0,0.865,5.971,46.2,1.4298,6,287.0,20.2,89.88,37.35,5.0
1.1759,75.0,26.67,0,0.823,6.045,9.7,6.8895,10,377.0,15.4,70.13,21.17,5.0
8.5999,85.0,3.48,0,0.702,6.442,73.7,3.5309,15,227.0,21.6,343.85,19.95,13.2
0.9859,30.0,24.83,0,0.538,7.048,62.0,12.0137,21,367.0,17.6,176.47,11.07,8.9
0.5635,85.0,27.47,0,0.509,6.146,71.5,7.4488,22,397.0,18.4,54.67,27.15,5.0
2.4202,20.0,2.17,0,0.783,5.796,39.3,2.6467,20,367.0,19.0,342.26,2.25,15.7
15.2785,85.0,24.52,0,0.813,5.491,38.8,8.7064,6,647.0,18.9,323.97,3.52,6.7
0.9977,50.0,14.54,0,0.64,5.952,7.3,11.0052,23,337.0,17.4,390.52,23.45,5.0
4.0146,50.0,25.16,0,0.504,4.959,36.9,9.327,10,417.0,16.6,361.11,14.11,7.9
5.162,95.0,16.04,0,0.44,5.772,93.1,1.9708,7,587.0,13.1,338.12,36.28,15.5
0.9768,70.0,18.51,0,0.427,7.151,39.7,10.9847,22,217.0,12.8,21.17,34.46,5.0
4.6899,60.0,15.29,0,0.734,5.704,83.6,9.8632,17,327.0,16.0,41.73,27.59,5.0
1.6507,55.0,24.01,0,0.589,6.72,84.7,2.8713,18,427.0,15.7,225.97,31.38,8.5
3.6018,35.0,20.46,0,0.825,5.421,39.1,1.6996,17,617.0,16.2,211.09,25.91,5.0
3.6138,40.0,14.68,0,0.744,7.52,64.3,7.2604,9,527.0,13.9,181.94,6.28,17.2
2.7626,20.0,24.11,0,0.478,7.566,12.2,2.8464,10,317.0,19.5,157.68,29.47,11.0
0.3407,75.0,7.17,0,0.683,6.694,13.0,10.3105,10,667.0,20.7,171.33,9.35,5.0
6.4931,40.0,4.78,0,0.597,7.674,7.6,5.0717,7,367.0,21.4,226.09,13.45,19.5
1.3925,35.0,4.86,0,0.666,6.529,59.3,11.1718,16,557.0,17.2,1.14,31.42,5.0
0.7432,0.0,9.59,0,0.744,6.818,44.3,7.3526,18,537.0,19.2,103.71,21.17,5.0
0.1499,40.0,6.99,0,0.777,7.163,56.1,3.1394,6,247.0,20.6,205.86,32.89,7.2
3.2176,40.0,25.8,0,0.795,6.406,53.5,2.6656,20,477.0,16.5,286.74,9.45,14.7
4.0747,90.0,3.38,1,0.508,5.193,36.9,7.4712,1,367.0,15.5,69.39,23.76,5.7
0.0602,30.0,19.51,0,0.4,6.832,68.7,9.5107,1,667.0,21.4,217.2,4.77,13.6
2.5835,65.0,5.65,0,0.744,5.95,76.6,9.7266,12,427.0,17.4,283.66,25.03,5.0
0.9246,55.0,24.48,0,0.437,6.002,4.3,4.1633,21,337.0,17.3,176.65,29.36,7.8
3.73,25.0,26.65,0,0.538,6.489,23.0,3.3767,2,647.0,14.3,11.06,22.93,14.8
0.6898,50.0,13.16,0,0.387,6.676,72.2,1.3143,4,577.0,13.6,178.49,11.38,31.9
4.2272,35.0,24.41,0,0.716,6.385,40.4,8.6012,17,687.0,20.5,117.88,2.87,5.5
1.7603,30.0,0.64,0,0.466,6.725,67.2,1.9723,4,257.0,18.4,369.0,6.06,27.2
9.9372,40.0,22.8,0,0.703,5.785,36.6,5.7584,11,357.0,15.7,49.74,24.28,5.0
0.5326,20.0,6.72,0,0.867,6.25,40.8,7.7485,22,457.0,14.4,259.08,35.59,5.0
1.5017,65.0,25.22,0,0.42,6.874,18.3,11.4382,4,337.0,17.8,21.23,9.21,8.0
0.4336,30.0,0.53,0,0.422,7.521,28.0,4.5598,1,697.0,18.1,177.26,28.37,12.6
9.3103,85.0,15.63,0,0.55,7.769,61.7,3.8775,7,367.0,14.5,220.02,33.13,18.0
7.554,40.0,21.08,0,0.806,6.583,45.0,8.3258,18,597.0,20.6,118.48,20.61,5.0
1.074,95.0,7.54,0,0.49,6.868,78.1,7.9416,9,347.0,13.4,180.79,25.98,14.9
3.8835,40.0,5.75,0,0.56,7.667,85.7,4.7832,3,627.0,15.9,65.18,31.27,12.3
6.1181,20.0,2.79,0,0.418,5.81,55.5,11.3391,8,307.0,19.0,120.93,11.18,5.0
2.9165,85.0,9.38,0,0.756,6.721,76.5,10.4235,24,247.0,15.2,246.64,12.49,12.8
2.7154,65.0,15.73,0,0.583,6.818,32.7,3.5938,19,447.0,20.4,120.01,1.75,17.3
0.9968,50.0,3.65,0,0.754,7.294,43.2,3.7606,4,277.0,19.6,357.14,36.63,9.0
0.3518,75.0,10.75,0,0.824,5.484,72.1,6.7653,18,517.0,20.0,249.53,34.98,5.0
8.1904,70.0,0.75,1,0.498,5.622,40.4,9.6393,20,537.0,13.7,174.28,29.44,5.0
8.3044,35.0,22.77,0,0.777,6.295,60.0,1.6144,11,427.0,13.9,15.69,4.6,16.9
3.6096,40.0,3.99,1,0.414,6.544,20.9,8.7567,14,237.0,15.3,198.43,17.95,19.5
1.4906,30.0,8.21,0,0.822,7.066,61.1,8.2606,18,417.0,17.5,303.61,5.42,11.8
1.5464,0.0,1.0,0,0.701,6.642,86.6,3.6763,16,357.0,19.6,105.63,2.31,19.8
4.6601,95.0,12.26,0,0.81,6.174,87.2,8.6249,3,407.0,20.5,320.27,24.06,5.0
8.1868,70.0,23.35,0,0.385,6.572,73.2,11.472,15,237.0,19.2,100.18,36.55,5.0
7.8521,85.0,11.17,0,0.467,6.491,75.3,1.6446,4,467.0,21.3,327.0,34.45,11.0
5.4488,0.0,5.38,0,0.574,7.502,57.1,4.6462,5,427.0,19.5,34.14,26.98,7.7
3.6983,80.0,21.0,0,0.569,6.396,59.7,5.9499,17,347.0,15.5,343.83,5.23,23.0
0.3164,40.0,21.96,0,0.495,6.012,15.9,11.0219,7,637.0,15.1,198.29,11.67,6.6
0.6347,35.0,5.23,1,0.57,6.595,46.0,11.7149,16,417.0,19.1,117.92,13.33,10.3
8.2376,65.0,21.47,0,0.448,6.419,46.7,6.0153,14,287.0,14.4,105.46,29.39,10.0
3.357,30.0,26.27,0,0.586,5.18,96.0,9.3803,16,437.0,13.5,171.65,30.8,5.0
0.0333,75.0,5.03,0,0.775,6.269,44.8,6.9783,7,687.0,17.6,396.52,15.69,8.4
0.3852,65.0,21.47,0,0.618,6.209,56.2,7.0456,9,517.0,20.3,87.7,16.87,7.7
3.921,25.0,19.77,0,0.394,5.899,54.7,4.1891,4,457.0,13.6,41.25,3.34,21.6
0.0183,0.0,13.38,0,0.59,7.005,64.7,3.5165,22,207.0,20.0,232.33,12.21,12.6
0.6311,40.0,2.08,0,0.398,5.73,75.6,4.2981,11,287.0,20.2,194.07,18.08,10.5
2.8645,60.0,2.53,0,0.855,6.599,24.8,7.2496,2,557.0,17.1,208.21,5.97,10.4
4.2383,35.0,23.69,0,0.447,6.177,54.2,1.4507,12,317.0,13.1,264.81,18.16,21.8
3.7996,60.0,27.43,0,0.729,6.355,83.1,11.1097,12,687.0,14.2,106.26,32.65,5.0
0.9142,70.0,18.89,1,0.858,6.568,47.9,2.8491,4,437.0,19.2,361.47,22.8,17.0
4.4835,20.0,12.63,0,0.786,5.365,29.9,3.551,18,657.0,19.3,173.1,4.59,5.0
0.975,75.0,18.11,0,0.725,6.414,66.5,6.831,21,387.0,21.0,51.51,8.68,5.6
1.4171,50.0,16.67,0,0.793,7.882,82.9,8.9413,7,567.0,18.1,294.7,18.93,7.7
4.9405,20.0,10.93,0,0.862,5.19,9.0,2.183,1,477.0,13.8,255.36,14.83,13.0
3.7756,0.0,2.29,0,0.687,6.24,78.3,4.6246,23,257.0,13.7,125.54,14.73,16.6
6.811,35.0,22.85,0,0.657,7.066,82.7,11.7854,13,687.0,19.4,246.8,20.91,5.0
3.8585,55.0,10.61,0,0.69,6.491,47.7,4.0158,6,377.0,14.3,87.51,22.91,6.7
3.0242,95.0,22.77,0,0.644,6.762,98.4,4.5736,6,657.0,15.7,176.73,30.61,13.0
0.3541,55.0,7.37,0,0.694,4.617,79.3,10.3315,12,497.0,17.2,357.01,14.09,5.0
1.6503,65.0,0.53,0,0.604,6.699,78.0,1.6824,8,397.0,12.8,53.28,30.92,14.8
1.1094,85.0,4.82,0,0.491,5.747,75.5,6.2407,24,247.0,14.9,153.68,14.0,15.4
1.0069,40.0,13.24,0,0.443,6.497,17.5,5.3058,22,267.0,16.4,325.97,3.74,24.2
13.0043,25.0,26.19,0,0.418,6.259,24.0,4.6125,19,627.0,15.2,384.8,21.81,9.2
1.7978,95.0,3.28,0,0.513,7.875,48.0,4.2727,5,187.0,13.9,180.34,23.04,27.4
8.0138,35.0,23.73,0,0.407,6.663,28.5,2.1351,18,467.0,19.4,201.39,35.6,7.1
3.5904,70.0,14.84,0,0.661,6.201,43.2,4.5931,5,257.0,20.2,227.23,28.04,11.8
5.7018,80.0,22.97,0,0.523,5.223,89.2,1.6036,10,217.0,15.0,370.07,34.99,13.8
2.5144,65.0,8.62,0,0.786,6.365,82.9,9.7206,1,527.0,19.9,340.67,34.65,5.0
3.0966,55.0,23.35,0,0.421,6.856,64.1,5.5105,10,207.0,16.2,67.98,23.64,11.6
2.4419,20.0,21.52,0,0.495,6.224,86.2,6.0129,5,627.0,17.4,173.53,20.86,5.9
0.782,70.0,6.76,0,0.74,5.926,79.0,10.9595,12,577.0,20.6,184.33,21.93,5.0
4.6143,25.0,4.07,0,0.676,5.879,44.6,8.3686,22,247.0,19.6,313.26,37.18,5.0
1.1865,25.0,24.11,0,0.416,6.655,22.4,1.2187,7,447.0,20.2,239.42,29.75,15.4
0.0886,0.0,26.7,0,0.811,6.812,52.8,11.5049,9,187.0,13.9,259.77,5.58,11.8
3.7331,50.0,1.35,0,0.811,7.233,74.4,3.7386,22,447.0,13.3,396.19,29.94,9.6
0.7018,50.0,20.39,0,0.546,5.584,45.3,2.3138,21,337.0,21.0,30.05,7.91,12.4
10.1559,65.0,25.24,0,0.55,6.648,67.6,9.5794,12,557.0,16.2,88.76,17.94,8.0
11.0792,55.0,23.82,0,0.866,6.195,12.1,6.6353,23,247.0,15.3,162.08,9.36,6.9
8.8686,35.0,26.73,0,0.689,6.215,75.5,5.9015,1,617.0,19.4,138.24,26.72,5.0
1.6642,80.0,21.17,0,0.643,6.561,81.8,3.8745,11,407.0,20.5,8.9,33.52,5.0
0.0561,25.0,12.53,0,0.792,6.565,71.5,7.1522,21,587.0,20.7,36.72,12.25,5.0
9.4879,35.0,8.99,0,0.524,6.65,96.8,4.1482,15,287.0,15.6,270.37,4.7,23.9
2.0122,35.0,9.22,0,0.594,5.54,83.2,11.0474,2,597.0,20.6,349.04,12.55,5.7
12.243,80.0,20.2,0,0.515,5.755,90.6,3.4972,20,707.0,13.0,204.25,26.1,6.2
11.9294,30.0,20.79,0,0.769,7.32,93.5,10.8579,7,507.0,13.1,214.15,13.64,5.9
6.9026,75.0,5.95,0,0.664,6.126,80.7,7.2835,21,677.0,18.5,101.48,11.81,5.0
1.2556,60.0,24.11,0,0.705,6.494,68.4,10.2434,12,537.0,13.2,304.84,8.41,8.4
1.7507,50.0,19.95,0,0.508,7.018,3.5,8.9713,22,547.0,15.7,298.47,19.76,10.3
6.857,50.0,15.81,0,0.492,6.604,48.1,8.7936,18,587.0,18.9,233.65,11.73,11.6
1.3721,45.0,13.33,1,0.622,6.663,58.4,4.6978,3,347.0,15.8,84.66,28.22,15.0
0.6686,50.0,15.28,0,0.743,6.906,32.4,3.7029,7,527.0,14.3,38.8,4.51,21.7
2.9295,80.0,4.83,0,0.64,4.798,33.8,3.4497,11,657.0,15.2,25.8,25.79,5.0
9.9047,40.0,6.04,0,0.401,5.937,96.2,10.5591,18,227.0,16.9,235.37,10.34,11.8
4.287,0.0,2.98,0,0.807,6.608,89.5,10.1547,12,657.0,17.1,327.51,19.46,5.0
